Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
I1106,0,Bilingue,5,ThirdPSing,2,
I1106,0,Bilingue,6,ThirdPSing,2,
I1106,0,Bilingue,7,ThirdPSing,2,
I1106,0,Bilingue,8,ThirdPSing,2,
I1107,0,Bilingue,1,ThirdPSing,2,
I1107,0,Bilingue,2,ThirdPSing,1,2783
I1107,0,Bilingue,3,ThirdPSing,2,
I1107,0,Bilingue,4,ThirdPSing,2,
I1107,0,Bilingue,5,ThirdPSing,2,
I1107,0,Bilingue,6,ThirdPSing,2,
I1107,0,Bilingue,7,ThirdPSing,1,3018
I1107,0,Bilingue,8,ThirdPSing,2,
E3301,0,Bilingue,1,ThirdPSing,1,1840
E3301,0,Bilingue,2,ThirdPSing,1,2280
E3301,0,Bilingue,3,ThirdPSing,2,
E3301,0,Bilingue,4,ThirdPSing,1,1683
E3301,0,Bilingue,5,ThirdPSing,2,
E3301,0,Bilingue,6,ThirdPSing,1,
E3301,0,Bilingue,7,ThirdPSing,2,2488
E3301,0,Bilingue,8,ThirdPSing,1,
E3302,0,Bilingue,1,ThirdPSing,2,
E3302,0,Bilingue,2,ThirdPSing,2,
E3302,0,Bilingue,3,ThirdPSing,1,1872
E3302,0,Bilingue,4,ThirdPSing,1,1878
E3302,0,Bilingue,5,ThirdPSing,1,1814
E3302,0,Bilingue,6,ThirdPSing,2,
E3302,0,Bilingue,7,ThirdPSing,1,4033
E3302,0,Bilingue,8,ThirdPSing,1,3186
E3303,0,Bilingue,1,ThirdPSing,1,3038
E3303,0,Bilingue,2,ThirdPSing,2,
E3303,0,Bilingue,3,ThirdPSing,2,
E3303,0,Bilingue,4,ThirdPSing,1,1896
E3303,0,Bilingue,5,ThirdPSing,2,
E3303,0,Bilingue,6,ThirdPSing,2,
E3303,0,Bilingue,7,ThirdPSing,1,2128
E3303,0,Bilingue,8,ThirdPSing,1,2740
E3304,0,Bilingue,1,ThirdPSing,2,
E3304,0,Bilingue,2,ThirdPSing,1,1775
